method,feedback_budget,judge_flip_prob,runs,success_mean,success_sd,feedback_mean,train_mean,test_mean
adaptive_fwb,1,0.000,2,0.5000,0.0000,1.0000,0.3200,1.3200
adaptive_fwb,2,0.000,2,0.4900,0.0100,1.3600,0.3400,1.7000
adaptive_fwb,4,0.000,2,0.5100,0.0100,1.8500,0.3300,2.1800
inference_only,1,0.000,2,0.0900,0.0100,1.0000,0.0000,1.0000
resample_only,1,0.000,2,0.1000,0.0000,1.0000,0.0000,1.0000
resample_only,2,0.000,2,0.1100,0.0100,1.9100,0.0000,1.9100
resample_only,4,0.000,2,0.1300,0.0100,3.6700,0.0000,3.6700
frontier_auc:
  adaptive_fwb: 1.4950
  inference_only: 0.0000
  resample_only: 0.3450
